Cohort,Model,y_test,testresult
GSE26378,sNIP,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[ 0.08425962 -0.02585201  0.06137383  0.0296675   0.15193889  0.02109457
  0.10475106  0.02648819 -0.03912698  0.16071704  0.13604882 -0.06224641
  0.07651707 -0.05039198 -0.04412743 -0.02701727 -0.06996215  0.16979639
  0.10162848 -0.0024582   0.01120922  0.10171618  0.09199702  0.0559528
  0.02174698  0.11846498  0.04973013  0.02709121  0.08981984  0.06118345
  0.01289718 -0.02299223 -0.07850306 -0.01727132 -0.03421957 -0.00107783
  0.15457976  0.12121233  0.16210539  0.11224164  0.08216499 -0.02936219
  0.0329215   0.12604497 -0.06026116  0.05094627  0.04686187 -0.01406459
  0.10736194  0.08571104  0.11029838  0.12357007 -0.04372403 -0.06465164
 -0.10796758 -0.02986108  0.10248409  0.08900252  0.08285447  0.10725885
  0.00693043  0.03103446  0.15105365 -0.09278906  0.08500795  0.04990017
 -0.11726975  0.10258563 -0.037629    0.01347821  0.1787605   0.12698794
  0.08714715 -0.05798807  0.13474813  0.09326086 -0.06540157  0.17910993
 -0.0578938   0.18202747  0.18209242  0.00332809 -0.01744776  0.11076969
  0.02730629 -0.05606812 -0.09819857  0.1011255  -0.04410574  0.03624011
 -0.04800108 -0.1092372   0.13661924  0.08211665  0.14158715  0.1880446
  0.02005074  0.15829076  0.10954966  0.04802974  0.00125929  0.07512598
  0.03436625]"
GSE28750,FAIM3/PLAC8,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.7424522  -0.74553385 -0.49325123 -0.56423242 -0.52771588 -0.43364268
 -0.48726026 -0.59868675 -0.50838652 -0.63253066 -0.90863709 -0.85774115
 -0.93122648 -0.92675615 -0.89803859 -0.90663459 -0.98449039 -0.92811484
 -0.93156382 -0.88925237 -0.8627325  -0.90680092 -0.92437717 -0.90524032
 -0.87845427 -0.90792159 -0.86533871 -0.85257062 -0.85455309 -0.852099  ]"
GSE28750,SeptiCyte,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.78695705 1.83564434 3.22557043 2.74687149 4.1776635  3.47692024
 2.20025645 2.75175728 2.98482027 2.64614862 2.02614467 1.80386046
 2.37800517 2.68310903 2.15790396 2.32903803 2.32644782 2.36556977
 2.2462062  1.96238024 1.77542416 2.19661223 2.401701   1.99580618
 2.79782139 2.13237051 2.1045663  1.99080472 2.30356963 2.22988209]"
GSE28750,sNIP,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-0.00769717 -0.00350805  0.19040031  0.22396692  0.09625852  0.17054264
  0.15831477  0.18203648  0.2488226   0.08924025 -0.00357324 -0.03108944
 -0.05373264 -0.03237873 -0.07409763 -0.05260438 -0.06945924 -0.07108156
 -0.07199431 -0.04235279  0.08180783 -0.04806571 -0.04833397 -0.0359267
 -0.02693885 -0.01732159 -0.01491917  0.06064803  0.02168096 -0.05042937]"
GSE185263,FAIM3/PLAC8,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0]","[-0.79903784 -0.8241037  -0.75074677 -1.0982081  -0.89425883 -1.62169178
 -1.07306388 -0.68257876 -0.56563035 -1.05414281 -0.74162974 -0.91227641
 -1.04130856 -0.60504135 -0.62070483 -1.07689126 -0.95000083 -1.24642298
 -0.95330642 -0.94318656 -0.91823517 -1.29388604 -1.08125817 -0.94355772
 -1.02893088 -1.1614654  -0.99484252 -0.96448484 -1.13853517 -1.08364422
 -1.18996502 -0.99634771 -0.623277   -1.18990208 -1.06729691 -1.02627345
 -0.5932392  -0.94014508 -1.26467698 -0.88143633 -0.91716584 -1.16301869
 -0.99311033 -1.10561598 -1.17353366 -1.02540478 -0.6720865  -0.88174597
 -0.96445705 -1.03970878 -0.75922247 -1.26509139 -1.15685258 -0.89969495
 -1.05053751 -0.78308528 -1.19119586 -0.91648656 -0.78564099 -0.76349227
 -1.03141381 -1.20055225 -1.01887373 -0.98924749 -1.26932413 -1.1497229
 -1.13371699 -0.84846859 -1.00811419 -0.49222995 -0.90604362 -0.8361542
 -0.81811918 -0.7672109  -0.87508035 -0.9408308  -0.69093115 -0.73223905
 -0.84243683 -0.71259257 -0.56929774 -1.09410582 -0.86794814 -1.0220402
 -0.95079841 -0.76755725 -0.63839502 -0.70303272 -0.64789904 -0.90213302
 -0.78937469 -0.98472574 -1.14979343 -1.06742564 -0.61571798 -0.44523989
 -1.05087293 -0.80059629 -1.10739519 -0.90930693 -0.66966846 -0.75376403
 -0.93189674 -0.71639374 -0.84052788 -0.6337621  -0.96306321 -0.47098601
 -0.81231819 -0.66457071 -1.08500745 -1.03440545 -0.71091027 -0.46465684
 -0.92154911 -0.56192662 -0.8527524  -1.0277718  -0.89022734 -0.75092874
 -0.77480332 -0.80332009 -1.05563017 -1.1775746  -0.77114693 -0.52248092
 -0.96752703 -0.61438644 -0.51600059 -1.22583051 -0.74526492 -0.83807964
 -0.57998697 -0.94625472 -0.96140706 -0.58466681 -0.90508407 -0.91873711
 -0.95220714 -0.63649965 -0.40880568 -0.87064218 -0.80666089 -0.63374614
 -0.91690513 -1.06958989 -0.67499114 -0.68483266 -0.88509311 -0.94337058
 -0.50543304 -1.0911677  -0.86881584 -0.96543289 -0.67926998 -0.53608552
 -0.72024855 -1.12491688 -0.93964254 -0.9827013  -0.9021433  -0.50241786
 -1.17754645 -0.47064527 -0.9370604  -0.98114135 -1.05254014 -0.74280775
 -0.66124023 -0.42879599 -1.05919169 -0.87403045 -0.63895205 -0.79585739
 -0.71992162 -1.06563292 -1.06612801 -1.14785262 -0.96111282 -0.8541592
 -0.47187619 -0.69731251 -0.5687916  -0.90857033 -0.66919165 -0.74872313
 -1.75772186 -0.6473765  -1.10006338 -0.79819723 -0.89213084 -0.83639415
 -0.77723365 -0.91910325 -0.86421907 -0.91347664 -0.81777755 -0.70769213
 -0.94998835 -0.72151895 -0.9583747  -0.78444121 -0.707028   -0.82228689
 -0.74206316 -0.76244379 -0.74156939 -0.79676265 -0.74468382 -0.76429215
 -1.25306977 -0.67910707 -0.94053537 -0.89981499 -1.16928822 -0.68272192
 -1.03895811 -1.0695278  -0.93362319 -0.98355532 -0.76000652 -0.68734686
 -0.60865461 -1.08293733 -0.78254865 -0.61372135 -0.38018314 -0.95830575
 -0.88321187 -0.7385134  -0.8334767  -0.98602919 -0.87947379 -0.59170907
 -1.12354988 -0.65975371 -0.79485684 -0.55096349 -0.74363162 -0.69871091
 -1.11771129 -0.84650206 -0.81460523 -1.2153225  -0.44154564 -0.70298486
 -0.90842613 -0.8137282  -1.17362931 -0.6756494  -0.3911775  -0.84350997
 -0.63274828 -0.77313397 -0.7159747  -0.58776788 -0.94020139 -0.82047757
 -1.09685263 -0.95255559 -1.02484096 -0.83024195 -0.38464424 -1.07144841
 -1.03592297 -0.75108462 -1.29646552 -1.26493918 -1.2885672  -1.28077708
 -1.2987457  -1.37105494 -1.17476347 -1.27227476 -1.30867418 -1.32936287
 -1.19009533 -1.1993076  -1.24006263 -1.22109384 -1.21777141 -1.226813
 -1.20614118 -1.30626363 -1.20062214 -1.1430781  -1.25014029 -1.1811912
 -1.24044068 -1.18105363 -1.29322604 -1.26895375 -1.22660177 -1.19411047
 -1.25777558 -1.11903008 -1.1384293  -1.19652097 -1.2239307  -1.32804104
 -1.4017324  -1.54602971 -1.37728013 -1.32037432 -1.30585013 -0.8758173
 -0.83053289 -0.7605474  -1.03241807 -0.76423123 -0.82751134 -0.7264251
 -1.12832624 -0.42546503 -1.04887843 -1.1906885  -0.74543748 -0.84266846
 -0.40883001 -0.93177816 -1.09149971 -0.55751833 -0.68079737 -0.78762729
 -0.84786922 -0.58597677 -0.60992682 -0.46988926 -1.23447567 -0.80289745
 -0.9365086  -0.84938478 -1.0695374  -0.95321731 -1.02733661 -1.21481778
 -0.67087598 -0.76850743 -1.11462746 -0.63593846 -0.76887682 -0.55586134
 -1.50074548 -1.34043722 -1.11739216 -0.97504276 -0.70940799 -1.14925129
 -0.94841062 -0.99719124 -1.40729017 -1.04140696 -0.57380267 -0.58124134
 -0.72189057 -0.89384805 -1.26533512 -1.08221021 -1.01685927 -0.51697218
 -0.73071907 -0.70008467 -0.57109093 -1.12633034 -1.14476907 -0.9560668
 -0.66746597 -1.02764451 -1.00751027 -0.87101949 -1.5538367  -0.46763756
 -1.344008   -1.67542582 -1.09146728 -0.9181181  -0.78434145 -1.21437814
 -1.02972495 -0.8212567  -1.41045824 -1.27726383 -0.77443936 -0.98487292
 -0.87201814 -0.94966918 -0.98783725 -1.34350132 -1.32626166 -1.28779228
 -1.32778354 -1.26018042]"
GSE185263,SeptiCyte,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0]","[1.49011593e+01 2.09158463e+01 3.15554270e+01 1.09151620e+01
 1.64169569e+01 1.00000000e+05 2.71491089e+01 4.31608255e+01
 8.86634351e+01 1.31324452e+01 5.21043979e+01 2.18896561e+01
 2.15262766e+00 2.82861233e+01 1.74459794e+01 1.96921564e+00
 1.55583910e+01 3.31967716e+00 3.82297462e+01 6.33307697e+00
 1.31818856e+00 5.32584903e+00 3.33138021e+00 6.60066722e+00
 4.63735844e+00 2.20716563e+00 1.08952547e+01 2.50103965e+02
 4.37070055e+01 7.79986229e+00 2.40056444e+00 1.05961376e+01
 4.72845499e+01 2.11444796e+00 1.10737531e+01 1.78910439e+01
 2.12710540e+01 6.17075456e+00 6.43222951e+01 3.85644464e+01
 2.34778212e+01 4.21111522e+01 9.05465637e+01 1.12630405e+01
 7.78351532e+01 2.14335648e+01 3.04325038e+02 1.12052476e+01
 8.53991675e+01 1.00634367e+01 3.25296416e+01 7.40583908e+01
 3.86261683e+01 3.64104282e+01 2.57424469e+01 1.35771744e+02
 5.34395143e+00 1.06398585e+02 5.32375134e+01 9.33022577e+00
 3.48397972e+01 1.38009734e+02 5.67620117e+01 5.07185471e+01
 2.25253835e+02 1.95451589e+02 1.74507651e+01 7.01379175e-01
 6.33586300e+00 5.84673965e+01 7.93262264e+00 2.52033282e+01
 2.05615567e+00 3.89583108e+00 2.99980777e+00 1.07786510e+01
 8.14706813e+00 4.15564926e+00 1.63647415e+00 9.14124724e+00
 8.62626801e+00 5.27301252e+00 1.54943656e+01 2.18664062e+00
 3.64282689e+00 2.37633847e+00 1.20585437e+01 1.27863048e+01
 1.24590079e+01 1.18009635e+01 6.97984230e+00 4.61694541e+00
 6.34783186e+00 6.48224166e+00 1.70219255e+00 1.55412782e+02
 8.06858810e+00 6.21366861e+01 5.34144777e+00 2.06219694e+01
 1.52256883e+01 2.56498726e+01 3.49642216e+00 6.24786253e+00
 1.75069079e+01 1.03365123e+01 1.14926002e+01 2.33393676e+01
 6.52566496e+00 9.23705176e+02 1.68858804e+01 8.26444510e+00
 6.58895285e+01 1.01643944e+02 3.76696135e+00 1.12539563e+01
 2.41100242e+01 5.39095890e+00 2.99772179e+00 5.43972510e+01
 7.52529679e+01 1.33595637e+01 4.94268550e+00 2.37777890e+00
 4.01824413e+00 1.17589167e+01 3.47709286e+01 2.26314932e+01
 4.31375075e+00 6.09205577e+00 1.28091117e+01 4.51613110e+00
 1.27080795e+01 1.33277878e+01 3.35677960e+00 4.56947466e+01
 7.02778632e+00 6.72869684e+00 3.06506608e+00 7.35069444e+00
 3.10185223e+02 2.81487299e+01 5.41507771e+01 5.94963051e+01
 2.64979717e+01 2.85648269e+00 9.06070282e+00 1.87069346e+01
 1.13654252e+01 9.12783918e+01 1.86467821e+01 7.48678710e+00
 8.12691412e+00 2.19399314e+01 1.83217715e+02 4.86973019e+02
 1.29789628e+01 5.34261043e+00 8.79341538e+00 2.12023545e+01
 7.46762984e+00 3.86065731e+01 4.83024766e+01 1.02982884e+01
 3.98745709e+00 4.66472493e+00 2.66979070e+01 6.05608764e+01
 1.03528905e+01 1.39128433e+01 1.02644718e+01 2.97080908e+01
 5.10687005e+01 3.31964059e+01 7.91795335e-01 2.89604401e-01
 1.50788713e+00 1.66164434e+01 5.96815973e+00 1.10478291e+01
 1.46005919e+01 2.23357622e+02 1.98539272e+01 1.04491945e+00
 9.77839041e+00 1.70512014e+01 4.97577522e+01 1.45256452e+01
 1.36160642e+01 9.19906372e+01 1.13780690e+01 5.32101502e+01
 1.26328663e+01 2.46201854e+01 1.22594894e+01 1.29106768e+01
 2.10481915e+01 1.13702134e+01 9.83544813e+00 1.66957852e+01
 9.02147934e+01 9.36859974e+00 1.73227133e+00 8.40766846e+00
 1.56318559e+02 2.98820414e+01 4.25297893e+01 1.87720460e+01
 1.66751252e+01 4.85174005e+01 5.86213785e+00 3.80595149e+01
 9.01040657e+01 6.21175230e+01 1.32862960e+00 7.12292488e+01
 1.61850932e+01 5.02339879e+00 6.12048249e+00 4.60363066e+01
 2.56760799e+01 8.21846278e+00 2.73915297e+01 3.64153667e+01
 1.75772654e+01 5.49907009e+00 3.84228142e+01 1.54036194e+01
 2.18103983e+01 4.01242718e+01 2.83333498e+02 6.04742880e+00
 1.33523638e+02 9.98482472e+00 2.95064297e+00 5.22772989e+00
 6.23519887e+01 1.87081205e+01 3.60986382e+00 6.77741032e+01
 1.58398772e+02 4.43574652e+00 3.15944711e+00 7.00829160e-01
 3.13611607e+02 9.12609046e+00 2.61735564e+00 3.11069400e+01
 9.14196249e-01 1.53306523e+02 5.90099985e+02 1.46333223e+01
 5.60010335e+01 6.30522430e+01 1.26340045e+02 2.73938179e+01
 3.64139948e+01 2.08538341e+00 1.00000000e+05 2.65706679e+01
 1.42674183e+01 2.22384805e+01 3.23001428e+02 2.30437197e+00
 1.05682144e+01 2.98762702e+01 7.65795993e+00 6.90550600e+00
 7.12422499e+00 1.44540994e+01 6.72753041e+00 1.56732230e+01
 5.12261090e+00 4.80675280e+00 8.03734875e+00 2.34084801e+00
 1.51136617e+01 1.01426757e+01 2.48107997e+00 5.63952530e+00
 2.83249446e+01 3.77414138e+00 2.02705589e+01 2.80885654e+00
 2.14769593e+01 1.36587467e+01 1.16261091e+01 2.21694322e+01
 4.88251686e+00 8.26785929e+00 1.51349711e+01 3.63837309e+00
 5.32452822e+00 1.63068487e+01 1.94384709e+01 3.72026503e+00
 9.86998719e+00 9.30822965e+00 1.29145917e+01 1.02222729e+01
 6.30013448e+00 1.52903060e+00 4.42214349e+00 4.38510449e+00
 3.74425157e+01 3.35042950e+01 7.11315891e+00 9.34741705e-01
 2.25315305e-01 9.29591091e+01 1.37873069e+02 1.13566781e+02
 4.09202609e+00 4.69036443e+02 7.39485378e+01 1.57023093e+01
 5.43332772e+00 9.03139800e+00 2.22375854e+02 1.02375534e+00
 1.48275603e+00 1.59022800e+01 1.19617129e+02 4.69563502e+01
 1.63495618e+01 1.87922378e+01 1.02484126e+02 1.10716981e+02
 7.93109547e-01 5.18226386e+01 9.75843165e+00 1.02396574e+01
 8.66291024e+00 1.72045765e+00 1.85607772e+00 9.58931170e+00
 1.07329016e+02 7.49905797e+02 2.47970043e+00 8.74400018e+00
 2.92331402e+01 1.44824652e+02 1.55543719e+00 7.08904182e-01
 1.31731049e+00 9.77201194e+00 3.11773215e+01 9.92581078e-01
 9.79346642e-01 1.06024697e+01 8.34341996e-01 1.09661959e+01
 3.45114704e+02 6.13495267e+02 3.15217540e+01 7.78685612e+01
 8.46090151e+00 4.27717369e+00 9.52960937e+00 9.03346142e+01
 8.59004532e+01 6.84093350e+00 3.05893924e+02 4.87616626e+00
 1.20859675e+01 5.89978435e+00 5.80832849e+01 1.55978535e+01
 1.68882443e+01 3.92400320e-01 5.94732679e+01 7.58594587e+01
 5.77558138e-01 4.07717863e+00 1.75334776e+01 1.32694256e+01
 1.03858762e+01 8.08891473e+00 2.66144300e-01 2.17059772e+01
 8.61484446e-01 5.33484486e-01 2.57169413e+01 3.76918954e+00
 7.18871030e+00 2.12354847e+01 1.81002920e+01 5.06209902e+00
 2.84443131e+00 1.67800636e+00 3.75383735e+00 6.87975585e+00]"
GSE185263,sNIP,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0]","[-2.79069958e-01 -1.28192892e-01 -1.65492124e-02 -7.69610605e-01
 -2.45885107e-01 -9.33666584e-02 -2.28450755e-01 -3.46365965e-02
  1.25580219e-02 -5.48347338e-01 -3.30835792e-02 -2.13994414e-01
 -4.00508779e-01 -1.82892969e-02 -5.63959415e-02 -4.75838850e-01
 -1.16627013e-01 -7.67083117e-01 -2.06185471e-01 -1.67955180e-01
 -8.94561730e-01 -1.51995993e+00 -5.24888308e-01 -4.26270236e-01
 -4.88777515e-01 -1.53139842e+00 -9.39017627e-02  2.47525695e-02
 -2.61884487e-01 -7.80189956e-01 -9.53487796e-01 -5.68135037e-01
 -9.79817197e-02 -1.39087434e+00 -7.53694801e-01 -6.14958961e-01
 -5.73436184e-02 -3.54427648e-01 -4.45549619e-01 -1.77237617e-01
 -1.01877016e-01 -1.88782479e-01 -2.98150859e-02 -1.63617397e-01
 -2.54884073e-01 -1.52033751e-01 -1.11895763e-01 -4.18104751e-01
 -4.98003370e-02 -4.85151767e-01 -1.40742773e-01 -3.95234934e-01
 -3.30194262e-01 -1.35183072e-01 -1.99805732e-01 -1.33447157e-01
 -1.32122189e+00 -2.34692663e-01 -1.55964644e-01 -7.22754313e-01
 -1.27689282e-01 -2.76772613e-01 -8.95535614e-02 -9.51852745e-02
 -2.91455366e-01 -6.96791114e-01 -2.72086218e-01 -1.13097454e+00
 -3.83455293e-01 -6.01035744e-02 -1.56364483e-01 -1.76172638e-01
 -2.48806578e-01 -4.63504872e-01 -4.59986204e-01 -7.92445568e-01
 -2.32978804e-01 -2.89736646e-01 -2.82390917e-01 -1.25173595e-01
 -1.31096680e-01 -2.36924129e-01 -2.87069851e-01 -6.61151035e-01
 -4.66556978e-01 -3.13532389e-01 -1.98805781e-01 -5.85266911e-02
 -5.60482739e-02 -1.77379379e-01 -2.20774979e-01 -2.68142611e-01
